Locality Number	Station Number	Locality Name	Address Name
30000	3410	ירושלים	שטרן אברהם 3
30000	3450	ירושלים	זנגויל 29
30000	3460	ירושלים	שד שרת משה 1
30000	3470	ירושלים	שד שרת משה 1
30000	3490	ירושלים	שד שרת משה 1
30000	3500	ירושלים	שטרן אברהם 3
30000	3510	ירושלים	שד שרת משה 1
30000	3540	ירושלים	שד שרת משה 1
30000	3550	ירושלים	זנגויל 29
30000	3580	ירושלים	גרינולד 8
30000	3600	ירושלים	שד שרת משה 1
30000	3610	ירושלים	האייל 72
30000	3780	ירושלים	שד שרת משה 1
30000	3960	ירושלים	האייל 72
30000	7701	ירושלים	חיל האויר 60
30000	7702	ירושלים	חיל האויר 60
30000	7703	ירושלים	חיל האויר 60
30000	7704	ירושלים	חיל האויר 60
30000	8150	ירושלים	גרינולד 8
30000	8160	ירושלים	זנגויל 29
30000	8170	ירושלים	שד שרת משה 1
30000	4271	ירושלים	בית צפפה
30000	4272	ירושלים	בית צפפה
30000	4273	ירושלים	בית צפפה
30000	4274	ירושלים	בית צפפה
30000	4581	ירושלים	בית צפפה
30000	4582	ירושלים	בית צפפה
30000	5480	ירושלים	איחוד הכפר
30000	5670	ירושלים	הרב אונטרמן 5
30000	5950	ירושלים	ורדינון 1
30000	5970	ירושלים	ורדינון 12
30000	5980	ירושלים	ורדינון 12
30000	5990	ירושלים	הגננת 29
30000	6000	ירושלים	ורדינון 1
30000	6730	ירושלים	הגננת 29
30000	6740	ירושלים	הגננת 29
30000	6750	ירושלים	הגננת 29
30000	6760	ירושלים	מרגלית 411
30000	6770	ירושלים	הדולב 423
30000	6790	ירושלים	ורדינון 1
30000	6800	ירושלים	ורדינון 12
30000	6810	ירושלים	מרגלית 411
30000	6820	ירושלים	צביה ויצחק
30000	6830	ירושלים	הדולב 423
30000	6840	ירושלים	שוהם 526
30000	6850	ירושלים	שוהם 526
30000	6860	ירושלים	הדולב 423
30000	6880	ירושלים	הדולב 423
30000	6910	ירושלים	מרגלית 411
30000	6920	ירושלים	הדולב 423
30000	6930	ירושלים	צביה ויצחק
30000	8200	ירושלים	הגננת 29
30000	8210	ירושלים	הגננת 29
30000	8240	ירושלים	ורדינון 1
30000	8251	ירושלים	מבוא נטף 4
30000	8252	ירושלים	מבוא נטף 4
30000	8253	ירושלים	מבוא נטף 4
30000	8254	ירושלים	מבוא נטף 4
30000	8260	ירושלים	הדולב 423
30000	8301	ירושלים	תירוש 9
30000	8302	ירושלים	תירוש 9
30000	8303	ירושלים	תירוש 9
30000	8304	ירושלים	תירוש 9
30000	8305	ירושלים	תירוש 9
30000	8306	ירושלים	תירוש 9
30000	4220	ירושלים	רזיאל דוד 13
30000	4510	ירושלים	קדושי בבל 22
