Bloc	Knesset	Locality	Party	Station	Votes
Micro	13	310	30	50	0
Micro	13	310	31	50	0
Arab-Israeli	13	310	32	50	0
Micro	13	310	33	50	0
Right	13	310	34	50	16
Micro	13	310	35	50	0
Micro	13	310	36	50	0
Micro	13	310	37	50	0
Micro	13	310	38	50	0
Right	13	310	39	50	208
Left	13	310	40	50	41
Micro	13	310	41	50	0
Micro	13	310	42	50	0
Micro	13	310	43	50	0
Arab-Israeli	13	310	44	50	0
Micro	13	310	45	50	0
Right	13	310	46	50	15
Micro	13	310	47	50	0
Micro	13	310	48	50	0
Micro	13	310	49	50	0
Orthodox	13	310	50	50	75
Right	13	310	51	50	4
Left	13	310	27	60	115
Orthodox	13	310	28	60	48
Orthodox	13	310	29	60	14
Micro	13	310	30	60	0
Micro	13	310	31	60	0
Arab-Israeli	13	310	32	60	1
Micro	13	310	33	60	0
Right	13	310	34	60	18
Micro	13	310	35	60	0
Micro	13	310	36	60	0
Micro	13	310	37	60	0
Micro	13	310	38	60	0
Right	13	310	39	60	167
Left	13	310	40	60	29
Micro	13	310	41	60	0
Micro	13	310	42	60	2
Micro	13	310	43	60	0
Arab-Israeli	13	310	44	60	0
Micro	13	310	45	60	1
Right	13	310	46	60	24
Micro	13	310	47	60	0
Micro	13	310	48	60	2
Micro	13	310	49	60	1
Orthodox	13	310	50	60	66
Right	13	310	51	60	8
Left	13	310	27	70	167
Orthodox	13	310	28	70	47
Orthodox	13	310	29	70	15
Micro	13	310	30	70	2
Micro	13	310	31	70	0
Arab-Israeli	13	310	32	70	0
Micro	13	310	33	70	0
Right	13	310	34	70	43
Micro	13	310	35	70	1
Micro	13	310	36	70	0
Micro	13	310	37	70	1
Micro	13	310	38	70	0
Right	13	310	39	70	249
Left	13	310	40	70	31
Micro	13	310	41	70	2
Micro	13	310	42	70	1
Micro	13	310	43	70	0
Arab-Israeli	13	310	44	70	0
Micro	13	310	45	70	0
Right	13	310	46	70	24
Micro	13	310	47	70	0
Micro	13	310	48	70	2
Micro	13	310	49	70	1
Orthodox	13	310	50	70	91
Right	13	310	51	70	5
Left	13	310	27	80	116
Orthodox	13	310	28	80	42
Orthodox	13	310	29	80	19
Micro	13	310	30	80	0
Micro	13	310	31	80	0
Arab-Israeli	13	310	32	80	0
Micro	13	310	33	80	0
Right	13	310	34	80	22
Micro	13	310	35	80	0
Micro	13	310	36	80	1
Micro	13	310	37	80	1
Micro	13	310	38	80	0
Right	13	310	39	80	186
Left	13	310	40	80	31
Micro	13	310	41	80	0
Micro	13	310	42	80	1
Micro	13	310	43	80	1
Arab-Israeli	13	310	44	80	1
Micro	13	310	45	80	1
Right	13	310	46	80	20
Micro	13	310	47	80	0
Micro	13	310	48	80	3
Micro	13	310	49	80	1
Orthodox	13	310	50	80	113
Right	13	310	51	80	0
Left	13	310	27	90	193
Orthodox	13	310	28	90	25
Orthodox	13	310	29	90	15
Micro	13	310	30	90	2
Micro	13	310	31	90	0
Arab-Israeli	13	310	32	90	0
Micro	13	310	33	90	0
Right	13	310	34	90	14
Micro	13	310	35	90	1
Micro	13	310	36	90	0
Micro	13	310	37	90	0
Micro	13	310	38	90	0
Right	13	310	39	90	179
Left	13	310	40	90	48
Micro	13	310	41	90	0
Micro	13	310	42	90	0
Micro	13	310	43	90	1
Arab-Israeli	13	310	44	90	0
Micro	13	310	45	90	0
Right	13	310	46	90	25
Micro	13	310	47	90	0
Micro	13	310	48	90	3
Micro	13	310	49	90	2
Orthodox	13	310	50	90	106
Right	13	310	51	90	8
Left	13	310	27	110	89
Orthodox	13	310	28	110	51
Orthodox	13	310	29	110	136
Micro	13	310	30	110	0
Micro	13	310	31	110	0
Arab-Israeli	13	310	32	110	0
Micro	13	310	33	110	0
Right	13	310	34	110	21
Micro	13	310	35	110	0
Micro	13	310	36	110	0
Micro	13	310	37	110	0
Micro	13	310	38	110	0
Right	13	310	39	110	129
Left	13	310	40	110	16
Micro	13	310	41	110	1
Micro	13	310	42	110	0
Micro	13	310	43	110	0
Arab-Israeli	13	310	44	110	0
Micro	13	310	45	110	0
Right	13	310	46	110	20
Micro	13	310	47	110	0
Micro	13	310	48	110	2
Micro	13	310	49	110	0
Orthodox	13	310	50	110	187
Right	13	310	51	110	2
Left	13	310	27	120	95
Orthodox	13	310	28	120	38
Orthodox	13	310	29	120	108
Micro	13	310	30	120	0
Micro	13	310	31	120	0
Arab-Israeli	13	310	32	120	0
Micro	13	310	33	120	0
Right	13	310	34	120	23
Micro	13	310	35	120	0
Micro	13	310	36	120	1
Micro	13	310	37	120	0
Micro	13	310	38	120	0
Right	13	310	39	120	176
Left	13	310	40	120	20
Micro	13	310	41	120	0
Micro	13	310	42	120	0
Micro	13	310	43	120	1
