Party ID	Excel Name	Ballot Symbol	Party Name	Knesset #	Bloc
407	ני	ני	Nativ	25	Micro
408	נף	נף	Shama	25	Micro
409	נץ	נץ	The New Independents	25	Micro
410	נק	נק	There’s a Direction	25	Micro
411	נר	נר	Us	25	Micro
412	עם	עם	United Arab List	25	Arab-Israeli
413	פה	פה	Yesh Atid	25	Secular Centre
414	ף	ף	Pirate Party	25	Micro
415	צ	צ	Fiery Youth	25	Micro
416	ץ	ץ	Social Leadership	25	Micro
417	ק	ק	Voice of the Environment and the Living	25	Micro
418	קי	קי	Jewish Heart	25	Micro
419	קך	קך	New Order	25	Micro
420	קנ	קנ	Every Vote Counts	25	Micro
421	קץ	קץ	With Courage for You	25	Micro
422	רז	רז	30/40	25	Micro
423	שס	שס	Shas	25	Orthodox
424	ת	ת	Ale Yarok–Islamic Family	25	Micro
